ID,field,dur_hr,tcen_KeplerBJD,ra,dec,mission
102356770,LRa03/E2/1774,5.04,336.300726,93.100867,5.067259,CoRoT
102387834,LRa03/E2/1326,5.75,326.5821,93.461526,5.302407,CoRoT
102574444,LRa01/E2/1113,4.6,-410.658,100.178884,-0.674015,CoRoT
102582649,LRa01/E2/2368,5.9,-322.008,100.237433,-0.636498,CoRoT
102586624,LRa01/E2/2744,6.3,-359.826,100.266392,-0.388916,CoRoT
102647266,LRa01/E1/2765,5,-367.566,100.636035,0.96941,CoRoT
102709133,LRa01/E1/4785,7.5,-413.202,100.958624,0.070793,CoRoT
102723949,IRa01/E1/2046,5.638,-665.0847,101.045771,-1.18699,CoRoT
102765275,IRa01/E1/2060,7.2,-655.57,101.279748,-0.671747,CoRoT
102801672,IRa01/E2/4912,9.07,-694.82,101.502722,-2.599634,CoRoT
102802996,IRa01/E2/3150,4.041,-669.5744,101.513845,-2.612934,CoRoT
102822869,IRa01/E2/4058,3.651,-644.0702,101.66185,-3.201307,CoRoT
102829388,IRa01/E2/3914,18.4,-669.14,101.707601,-3.03034,CoRoT
102855409,IRa01/E2/1633,20.26,-677.57,101.876699,-2.299071,CoRoT
102868004,IRa01/E2/2416,5.75,-660.46,101.948665,-2.206636,CoRoT
102874481,IRa01/E2/1677,6.795,-676.1978,101.987591,-2.936342,CoRoT
102895957,IRa01/E1/0783,5.498,-670.0462,102.109909,-1.242049,CoRoT
102919036,IRa01/E1/4818,17.8,-658.55,102.228589,-1.072517,CoRoT
102973379,IRa01/E2/1063,8.554,-661.2589,102.510327,-2.529909,CoRoT
211616889,SRc01/E1/1057,34,-616.905,285.250245,2.118096,CoRoT
211621528,SRc01/E1/0520,8.5,-612.037,285.368387,3.083559,CoRoT
211631779,SRc01/E2/1625,10.3,-619.159,285.587219,3.579578,CoRoT
211634383,SRc01/E2/1066,66,-617.306,285.636729,3.279651,CoRoT
211647475,SRc01/E1/1078,25,-608.663,285.842636,2.873201,CoRoT
211649312,SRc01/E1/3946,10.7,-620.608,285.8686,2.623698,CoRoT
211650063,SRc01/E2/1288,16,-605.129,285.879511,3.492253,CoRoT
211666578,SRc01/E1/2550,10,-624.588,286.088068,2.627876,CoRoT
310190466,LRc03/E2/3773,8,145.9,278.744434,-6.468048,CoRoT
315188649,SRa03/E2/1291,4,442.147387,97.408653,-0.256745,CoRoT
629951504,LRc08/E2/5183,7,934.9,278.264019,5.823252,CoRoT
634075176,LRc10/E2/3232,9,1303.9,,,CoRoT
