 logg  teff   ZR    a(CHEOPS)
 logg  teff   ZR    b(CHEOPS)
 logg  Teff   ZR    mucri(Cheops) 
 logg  teff   ZR    xi(CHEOPS)
 3.00  2300.  0.0   0.49882
 3.00  2300.  0.0   0.39529
 3.00  2300.  0.0   0.08490
 3.00  2300.  0.0   0.02036
 3.50  2300.  0.0   0.54372
 3.50  2300.  0.0   0.33056
 3.50  2300.  0.0   0.06635
 3.50  2300.  0.0   0.01120
 4.00  2300.  0.0   0.56340
 4.00  2300.  0.0   0.30272
 4.00  2300.  0.0   0.05016
 4.00  2300.  0.0   0.00869
 4.50  2300.  0.0   0.57614
 4.50  2300.  0.0   0.27909
 4.50  2300.  0.0   0.03979
 4.50  2300.  0.0   0.00726
 5.00  2300.  0.0   0.59799
 5.00  2300.  0.0   0.25839
 5.00  2300.  0.0   0.02995
 5.00  2300.  0.0   0.00558
 5.50  2300.  0.0   0.54665
 5.50  2300.  0.0   0.27790
 5.50  2300.  0.0   0.02257
 5.50  2300.  0.0   0.01172
 6.00  2300.  0.0   0.51816
 6.00  2300.  0.0   0.30176
 6.00  2300.  0.0   0.01723
 6.00  2300.  0.0   0.01304
 3.00  2400.  0.0   0.44556
 3.00  2400.  0.0   0.44841
 3.00  2400.  0.0   0.08306
 3.00  2400.  0.0   0.03266
 3.50  2400.  0.0   0.50141
 3.50  2400.  0.0   0.38669
 3.50  2400.  0.0   0.06588
 3.50  2400.  0.0   0.01724
 4.00  2400.  0.0   0.55539
 4.00  2400.  0.0   0.32872
 4.00  2400.  0.0   0.04944
 4.00  2400.  0.0   0.00983
 4.50  2400.  0.0   0.57532
 4.50  2400.  0.0   0.30488
 4.50  2400.  0.0   0.03914
 4.50  2400.  0.0   0.00758
 5.00  2400.  0.0   0.57905
 5.00  2400.  0.0   0.29657
 5.00  2400.  0.0   0.02971
 5.00  2400.  0.0   0.00567
 5.50  2400.  0.0   0.57612
 5.50  2400.  0.0   0.29035
 5.50  2400.  0.0   0.02251
 5.50  2400.  0.0   0.00675
 6.00  2400.  0.0   0.54562
 6.00  2400.  0.0   0.30254
 6.00  2400.  0.0   0.01731
 6.00  2400.  0.0   0.00927
 3.00  2500.  0.0   0.41159
 3.00  2500.  0.0   0.44601
 3.00  2500.  0.0   0.09384
 3.00  2500.  0.0   0.02227
 3.50  2500.  0.0   0.44443
 3.50  2500.  0.0   0.43358
 3.50  2500.  0.0   0.06454
 3.50  2500.  0.0   0.02471
 4.00  2500.  0.0   0.50136
 4.00  2500.  0.0   0.38405
 4.00  2500.  0.0   0.04841
 4.00  2500.  0.0   0.01598
 4.50  2500.  0.0   0.54969
 4.50  2500.  0.0   0.33996
 4.50  2500.  0.0   0.03870
 4.50  2500.  0.0   0.01026
 5.00  2500.  0.0   0.58042
 5.00  2500.  0.0   0.31238
 5.00  2500.  0.0   0.02931
 5.00  2500.  0.0   0.00684
 5.50  2500.  0.0   0.55681
 5.50  2500.  0.0   0.32419
 5.50  2500.  0.0   0.02243
 5.50  2500.  0.0   0.00619
 6.00  2500.  0.0   0.54554
 6.00  2500.  0.0   0.31982
 6.00  2500.  0.0   0.01701
 6.00  2500.  0.0   0.00844
 3.00  2600.  0.0   0.37235
 3.00  2600.  0.0   0.46076
 3.00  2600.  0.0   0.09703
 3.00  2600.  0.0   0.02743
 3.50  2600.  0.0   0.40029
 3.50  2600.  0.0   0.44672
 3.50  2600.  0.0   0.07513
 3.50  2600.  0.0   0.02354
 4.00  2600.  0.0   0.43694
 4.00  2600.  0.0   0.43499
 4.00  2600.  0.0   0.04844
 4.00  2600.  0.0   0.02483
 4.50  2600.  0.0   0.49946
 4.50  2600.  0.0   0.38943
 4.50  2600.  0.0   0.03796
 4.50  2600.  0.0   0.01453
 5.00  2600.  0.0   0.53607
 5.00  2600.  0.0   0.36121
 5.00  2600.  0.0   0.02907
 5.00  2600.  0.0   0.01009
 5.50  2600.  0.0   0.56094
 5.50  2600.  0.0   0.33500
 5.50  2600.  0.0   0.02209
 5.50  2600.  0.0   0.00705
 6.00  2600.  0.0   0.57482
 6.00  2600.  0.0   0.31166
 6.00  2600.  0.0   0.01678
 6.00  2600.  0.0   0.00604
 3.00  2700.  0.0   0.35925
 3.00  2700.  0.0   0.45185
 3.00  2700.  0.0   0.10017
 3.00  2700.  0.0   0.02665
 3.50  2700.  0.0   0.36477
 3.50  2700.  0.0   0.45137
 3.50  2700.  0.0   0.07749
 3.50  2700.  0.0   0.02561
 4.00  2700.  0.0   0.39270
 4.00  2700.  0.0   0.44568
 4.00  2700.  0.0   0.05585
 4.00  2700.  0.0   0.02449
 4.50  2700.  0.0   0.43338
 4.50  2700.  0.0   0.42851
 4.50  2700.  0.0   0.04290
 4.50  2700.  0.0   0.02083
 5.00  2700.  0.0   0.48650
 5.00  2700.  0.0   0.39933
 5.00  2700.  0.0   0.02856
 5.00  2700.  0.0   0.01622
 5.50  2700.  0.0   0.52598
 5.50  2700.  0.0   0.36855
 5.50  2700.  0.0   0.02176
 5.50  2700.  0.0   0.01162
 6.00  2700.  0.0   0.54995
 6.00  2700.  0.0   0.34454
 6.00  2700.  0.0   0.01660
 6.00  2700.  0.0   0.00874
 3.00  2800.  0.0   0.35902
 3.00  2800.  0.0   0.44936
 3.00  2800.  0.0   0.10354
 3.00  2800.  0.0   0.03020
 3.50  2800.  0.0   0.34562
 3.50  2800.  0.0   0.44909
 3.50  2800.  0.0   0.08048
 3.50  2800.  0.0   0.02698
 4.00  2800.  0.0   0.35600
 4.00  2800.  0.0   0.45178
 4.00  2800.  0.0   0.05946
 4.00  2800.  0.0   0.02733
 4.50  2800.  0.0   0.38466
 4.50  2800.  0.0   0.44644
 4.50  2800.  0.0   0.04481
 4.50  2800.  0.0   0.02577
 5.00  2800.  0.0   0.42675
 5.00  2800.  0.0   0.43019
 5.00  2800.  0.0   0.03217
 5.00  2800.  0.0   0.02217
 5.50  2800.  0.0   0.46425
 5.50  2800.  0.0   0.41011
 5.50  2800.  0.0   0.02130
 5.50  2800.  0.0   0.01956
 3.00  2900.  0.0   0.38707
 3.00  2900.  0.0   0.42128
 3.00  2900.  0.0   0.10470
 3.00  2900.  0.0   0.02488
 3.50  2900.  0.0   0.34487
 3.50  2900.  0.0   0.43959
 3.50  2900.  0.0   0.08098
 3.50  2900.  0.0   0.02694
 4.00  2900.  0.0   0.33517
 4.00  2900.  0.0   0.44907
 4.00  2900.  0.0   0.05925
 4.00  2900.  0.0   0.02845
 4.50  2900.  0.0   0.34681
 4.50  2900.  0.0   0.45462
 4.50  2900.  0.0   0.04381
 4.50  2900.  0.0   0.02974
 5.00  2900.  0.0   0.37693
 5.00  2900.  0.0   0.44575
 5.00  2900.  0.0   0.03228
 5.00  2900.  0.0   0.02750
 5.50  2900.  0.0   0.41873
 5.50  2900.  0.0   0.42710
 5.50  2900.  0.0   0.02432
 5.50  2900.  0.0   0.02415
 6.00  2900.  0.0   0.45786
 6.00  2900.  0.0   0.40849
 6.00  2900.  0.0   0.01780
 6.00  2900.  0.0   0.01969
 3.00  3000.  0.0   0.43117
 3.00  3000.  0.0   0.38867
 3.00  3000.  0.0   0.10243
 3.00  3000.  0.0   0.02181
 3.50  3000.  0.0   0.36327
 3.50  3000.  0.0   0.42009
 3.50  3000.  0.0   0.07929
 3.50  3000.  0.0   0.02440
 4.00  3000.  0.0   0.32747
 4.00  3000.  0.0   0.44391
 4.00  3000.  0.0   0.05811
 4.00  3000.  0.0   0.02942
 4.50  3000.  0.0   0.32255
 4.50  3000.  0.0   0.45548
 4.50  3000.  0.0   0.04480
 4.50  3000.  0.0   0.03129
 5.50  3000.  0.0   0.37173
 5.50  3000.  0.0   0.44124
 5.50  3000.  0.0   0.02448
 5.50  3000.  0.0   0.02812
 6.00  3000.  0.0   0.40980
 6.00  3000.  0.0   0.42253
 6.00  3000.  0.0   0.01771
 6.00  3000.  0.0   0.02469
 3.00  3100.  0.0   0.49045
 3.00  3100.  0.0   0.35211
 3.00  3100.  0.0   0.10290
 3.00  3100.  0.0   0.02067
 3.50  3100.  0.0   0.39507
 3.50  3100.  0.0   0.40051
 3.50  3100.  0.0   0.07994
 3.50  3100.  0.0   0.02285
 4.00  3100.  0.0   0.33620
 4.00  3100.  0.0   0.43134
 4.00  3100.  0.0   0.05989
 4.00  3100.  0.0   0.02720
 4.50  3100.  0.0   0.31092
 4.50  3100.  0.0   0.44846
 4.50  3100.  0.0   0.04576
 4.50  3100.  0.0   0.02979
 5.00  3100.  0.0   0.30868
 5.00  3100.  0.0   0.45832
 5.00  3100.  0.0   0.03353
 5.00  3100.  0.0   0.03192
 5.50  3100.  0.0   0.32900
 5.50  3100.  0.0   0.45469
 5.50  3100.  0.0   0.02477
 5.50  3100.  0.0   0.03076
 6.00  3100.  0.0   0.36483
 6.00  3100.  0.0   0.43697
 6.00  3100.  0.0   0.01817
 6.00  3100.  0.0   0.02785
 3.00  3200.  0.0   0.57612
 3.00  3200.  0.0   0.28760
 3.00  3200.  0.0   0.10418
 3.00  3200.  0.0   0.01599
 3.50  3200.  0.0   0.43986
 3.50  3200.  0.0   0.37267
 3.50  3200.  0.0   0.08282
 3.50  3200.  0.0   0.02030
 4.00  3200.  0.0   0.35668
 4.00  3200.  0.0   0.41471
 4.00  3200.  0.0   0.06206
 4.00  3200.  0.0   0.02395
 4.50  3200.  0.0   0.30727
 4.50  3200.  0.0   0.44292
 4.50  3200.  0.0   0.04796
 4.50  3200.  0.0   0.02872
 5.00  3200.  0.0   0.28682
 5.00  3200.  0.0   0.45887
 5.00  3200.  0.0   0.03423
 5.00  3200.  0.0   0.03202
 5.50  3200.  0.0   0.29245
 5.50  3200.  0.0   0.46346
 5.50  3200.  0.0   0.02495
 5.50  3200.  0.0   0.03250
 6.00  3200.  0.0   0.31976
 6.00  3200.  0.0   0.45392
 6.00  3200.  0.0   0.01835
 6.00  3200.  0.0   0.03003
 3.00  3300.  0.0   0.64042
 3.00  3300.  0.0   0.21989
 3.00  3300.  0.0   0.10967
 3.00  3300.  0.0   0.01461
 3.50  3300.  0.0   0.49088
 3.50  3300.  0.0   0.32923
 3.50  3300.  0.0   0.08591
 3.50  3300.  0.0   0.01633
 4.00  3300.  0.0   0.38191
 4.00  3300.  0.0   0.39298
 4.00  3300.  0.0   0.06402
 4.00  3300.  0.0   0.02032
 4.50  3300.  0.0   0.31173
 4.50  3300.  0.0   0.43256
 4.50  3300.  0.0   0.04935
 4.50  3300.  0.0   0.02571
 5.00  3300.  0.0   0.27175
 5.00  3300.  0.0   0.45819
 5.00  3300.  0.0   0.03569
 5.00  3300.  0.0   0.03168
 5.50  3300.  0.0   0.26077
 5.50  3300.  0.0   0.46951
 5.50  3300.  0.0   0.02586
 5.50  3300.  0.0   0.03434
 6.00  3300.  0.0   0.27371
 6.00  3300.  0.0   0.46984
 6.00  3300.  0.0   0.01883
 6.00  3300.  0.0   0.03427
 3.00  3400.  0.0   0.65614
 3.00  3400.  0.0   0.17946
