 log g Teff   ZR   Vel  a(CHEOPS)
 log g Teff   ZR   Vel  b(CHEOPS)
 log g Teff   ZR   Vel  xi(CHEOPS)
 0.00  3500. -5.0  2.0   0.5687
 0.00  3500. -5.0  2.0   0.0715
 0.00  3500. -5.0  2.0   0.0005
 0.50  3500. -5.0  2.0   0.5267
 0.50  3500. -5.0  2.0   0.1099
 0.50  3500. -5.0  2.0   0.0006
 1.00  3500. -5.0  2.0   0.4442
 1.00  3500. -5.0  2.0   0.1829
 1.00  3500. -5.0  2.0   0.0012
 1.50  3500. -5.0  2.0   0.3735
 1.50  3500. -5.0  2.0   0.2437
 1.50  3500. -5.0  2.0   0.0024
 2.00  3500. -5.0  2.0   0.3435
 2.00  3500. -5.0  2.0   0.2697
 2.00  3500. -5.0  2.0   0.0031
 2.50  3500. -5.0  2.0   0.3452
 2.50  3500. -5.0  2.0   0.2700
 2.50  3500. -5.0  2.0   0.0029
 3.00  3500. -5.0  2.0   0.3684
 3.00  3500. -5.0  2.0   0.2533
 3.00  3500. -5.0  2.0   0.0020
 0.00  3750. -5.0  2.0   0.5620
 0.00  3750. -5.0  2.0   0.0758
 0.00  3750. -5.0  2.0   0.0009
 0.50  3750. -5.0  2.0   0.5341
 0.50  3750. -5.0  2.0   0.1017
 0.50  3750. -5.0  2.0   0.0010
 1.00  3750. -5.0  2.0   0.4909
 1.00  3750. -5.0  2.0   0.1371
 1.00  3750. -5.0  2.0   0.0017
 1.50  3750. -5.0  2.0   0.3904
 1.50  3750. -5.0  2.0   0.2201
 1.50  3750. -5.0  2.0   0.0039
 2.00  3750. -5.0  2.0   0.2649
 2.00  3750. -5.0  2.0   0.3213
 2.00  3750. -5.0  2.0   0.0091
 2.50  3750. -5.0  2.0   0.1911
 2.50  3750. -5.0  2.0   0.3789
 2.50  3750. -5.0  2.0   0.0152
 3.00  3750. -5.0  2.0   0.1688
 3.00  3750. -5.0  2.0   0.4040
 3.00  3750. -5.0  2.0   0.0166
 0.00  4000. -5.0  2.0   0.5706
 0.00  4000. -5.0  2.0   0.0648
 0.00  4000. -5.0  2.0   0.0016
 0.50  4000. -5.0  2.0   0.5377
 0.50  4000. -5.0  2.0   0.0950
 0.50  4000. -5.0  2.0   0.0018
 1.00  4000. -5.0  2.0   0.4934
 1.00  4000. -5.0  2.0   0.1359
 1.00  4000. -5.0  2.0   0.0023
 1.50  4000. -5.0  2.0   0.4391
 1.50  4000. -5.0  2.0   0.1845
 1.50  4000. -5.0  2.0   0.0033
 2.00  4000. -5.0  2.0   0.3624
 2.00  4000. -5.0  2.0   0.2374
 2.00  4000. -5.0  2.0   0.0064
 2.50  4000. -5.0  2.0   0.2197
 2.50  4000. -5.0  2.0   0.3425
 2.50  4000. -5.0  2.0   0.0167
 3.00  4000. -5.0  2.0   0.1085
 3.00  4000. -5.0  2.0   0.4199
 3.00  4000. -5.0  2.0   0.0345
 3.50  4000. -5.0  2.0   0.0433
 3.50  4000. -5.0  2.0   0.4713
 3.50  4000. -5.0  2.0   0.0513
 0.00  4250. -5.0  2.0   0.5828
 0.00  4250. -5.0  2.0   0.0515
 0.00  4250. -5.0  2.0   0.0020
 0.50  4250. -5.0  2.0   0.5490
 0.50  4250. -5.0  2.0   0.0830
 0.50  4250. -5.0  2.0   0.0024
 1.00  4250. -5.0  2.0   0.4997
 1.00  4250. -5.0  2.0   0.1293
 1.00  4250. -5.0  2.0   0.0030
 1.50  4250. -5.0  2.0   0.4466
 1.50  4250. -5.0  2.0   0.1791
 1.50  4250. -5.0  2.0   0.0040
 2.00  4250. -5.0  2.0   0.3974
 2.00  4250. -5.0  2.0   0.2233
 2.00  4250. -5.0  2.0   0.0048
 2.50  4250. -5.0  2.0   0.3117
 2.50  4250. -5.0  2.0   0.2922
 2.50  4250. -5.0  2.0   0.0116
 3.00  4250. -5.0  2.0   0.2227
 3.00  4250. -5.0  2.0   0.3426
 3.00  4250. -5.0  2.0   0.0193
 3.50  4250. -5.0  2.0   0.1145
 3.50  4250. -5.0  2.0   0.4050
 3.50  4250. -5.0  2.0   0.0389
 4.00  4250. -5.0  2.0   0.0463
 4.00  4250. -5.0  2.0   0.4307
 4.00  4250. -5.0  2.0   0.0654
 0.00  4500. -5.0  2.0   0.5795
 0.00  4500. -5.0  2.0   0.0543
 0.00  4500. -5.0  2.0   0.0019
 0.50  4500. -5.0  2.0   0.5470
 0.50  4500. -5.0  2.0   0.0850
 0.50  4500. -5.0  2.0   0.0023
 1.00  4500. -5.0  2.0   0.5003
 1.00  4500. -5.0  2.0   0.1299
 1.00  4500. -5.0  2.0   0.0030
 1.50  4500. -5.0  2.0   0.4452
 1.50  4500. -5.0  2.0   0.1826
 1.50  4500. -5.0  2.0   0.0044
 2.00  4500. -5.0  2.0   0.3930
 2.00  4500. -5.0  2.0   0.2326
 2.00  4500. -5.0  2.0   0.0064
 2.50  4500. -5.0  2.0   0.3398
 2.50  4500. -5.0  2.0   0.2804
 2.50  4500. -5.0  2.0   0.0095
 3.00  4500. -5.0  2.0   0.2812
 3.00  4500. -5.0  2.0   0.3256
 3.00  4500. -5.0  2.0   0.0161
 3.50  4500. -5.0  2.0   0.1893
 3.50  4500. -5.0  2.0   0.3828
 3.50  4500. -5.0  2.0   0.0330
 4.00  4500. -5.0  2.0   0.0962
 4.00  4500. -5.0  2.0   0.4276
 4.00  4500. -5.0  2.0   0.0584
 0.00  4750. -5.0  2.0   0.5626
 0.00  4750. -5.0  2.0   0.0703
 0.00  4750. -5.0  2.0   0.0017
 0.50  4750. -5.0  2.0   0.5314
 0.50  4750. -5.0  2.0   0.1004
 0.50  4750. -5.0  2.0   0.0021
 1.00  4750. -5.0  2.0   0.4941
 1.00  4750. -5.0  2.0   0.1371
 1.00  4750. -5.0  2.0   0.0027
 1.50  4750. -5.0  2.0   0.4450
 1.50  4750. -5.0  2.0   0.1851
 1.50  4750. -5.0  2.0   0.0043
 2.00  4750. -5.0  2.0   0.3926
