# BJD_TDB RV err_RV FWHM err_FWHM BIS_SPAN err_BIS Contrast err_Contrast S-index err_S-index Ha err_Ha
# (d) (m/s) (m/s) (km/s) (km/s) (m/s) (m/s) (-) (-) (-) (-) (dex) (dex)
2458804.70780 79695.97 1.13 6.4153 0.0023 -86.82 2.26 59.879 0.021 0.1643 0.0005 0.2101 0.0002
2458805.77552 79699.66 0.85 6.4186 0.0017 -85.13 1.71 59.811 0.016 0.1702 0.0003 0.2124 0.0002
2458806.76769 79697.50 0.91 6.4152 0.0018 -83.67 1.82 59.861 0.017 0.1689 0.0003 0.2082 0.0001
2458816.75515 79695.58 1.77 6.4164 0.0035 -86.25 3.55 60.131 0.033 0.1538 0.0010 0.2068 0.0003
2458817.76549 79701.24 0.95 6.4153 0.0019 -86.66 1.90 59.919 0.018 0.1686 0.0003 0.2079 0.0002
2458818.76840 79702.47 0.85 6.4141 0.0017 -84.86 1.71 59.879 0.016 0.1704 0.0003 0.2071 0.0002
2458819.76148 79701.51 0.94 6.4098 0.0019 -83.47 1.89 59.930 0.018 0.1675 0.0003 0.2074 0.0001
2458820.64715 79702.57 2.96 6.4129 0.0059 -86.32 5.91 60.513 0.056 0.1456 0.0024 0.2090 0.0006
2458829.68451 79702.88 1.99 6.4184 0.0040 -86.03 3.98 59.785 0.037 0.1600 0.0012 0.2063 0.0004
2458831.67966 79696.83 1.01 6.4170 0.0020 -83.22 2.01 59.796 0.019 0.1689 0.0004 0.2128 0.0002
2458832.71083 79699.37 0.95 6.4216 0.0019 -89.30 1.90 59.748 0.018 0.1690 0.0003 0.2169 0.0002
2458841.73891 79698.77 2.03 6.4169 0.0041 -82.99 4.06 60.169 0.038 0.1574 0.0012 0.2091 0.0004
2458845.65390 79703.53 3.83 6.4102 0.0077 -91.05 7.66 60.180 0.072 0.1144 0.0031 0.2021 0.0009
2458845.69659 79703.64 1.04 6.4110 0.0021 -81.00 2.07 59.915 0.019 0.1623 0.0004 0.2056 0.0002
2458847.72288 79702.24 0.95 6.4139 0.0019 -85.10 1.91 59.908 0.018 0.1673 0.0004 0.2040 0.0001
2458848.78175 79700.65 1.19 6.4115 0.0024 -84.61 2.39 59.931 0.022 0.1674 0.0006 0.2074 0.0002
2458849.74129 79698.45 1.39 6.4159 0.0028 -85.97 2.78 59.927 0.026 0.1689 0.0006 0.2080 0.0003
2458850.70300 79695.52 0.96 6.4167 0.0019 -85.45 1.92 59.888 0.018 0.1659 0.0003 0.2087 0.0002
2458851.71888 79696.87 0.98 6.4129 0.0020 -83.40 1.96 59.908 0.018 0.1674 0.0003 0.2119 0.0002
2458853.74511 79698.16 0.96 6.4101 0.0019 -79.51 1.91 59.911 0.018 0.1664 0.0003 0.2112 0.0002
2458854.61073 79697.99 1.18 6.4090 0.0024 -85.40 2.37 59.895 0.022 0.1635 0.0004 0.2146 0.0003
2458858.66358 79693.49 2.62 6.4005 0.0052 -86.14 5.23 59.821 0.049 0.1653 0.0018 0.2078 0.0006
2458859.56275 79698.47 1.28 6.4115 0.0026 -85.56 2.56 59.661 0.024 0.1643 0.0006 0.2118 0.0002
2458860.62417 79691.77 1.02 6.4109 0.0020 -86.23 2.04 59.737 0.019 0.1654 0.0004 0.2093 0.0002
2458861.56623 79693.75 1.00 6.4147 0.0020 -85.94 2.00 59.737 0.019 0.1671 0.0004 0.2072 0.0001
2458884.48656 79698.48 1.88 6.4131 0.0038 -82.21 3.77 59.973 0.035 0.1492 0.0011 0.2069 0.0004
2458884.50796 79698.32 1.57 6.4233 0.0031 -80.59 3.14 59.968 0.029 0.1674 0.0008 0.2106 0.0004
2458884.57718 79696.39 1.33 6.4093 0.0027 -81.43 2.66 59.920 0.025 0.1681 0.0006 0.2070 0.0003
2458884.59882 79692.74 1.90 6.4101 0.0038 -83.72 3.80 59.936 0.036 0.1539 0.0010 0.2082 0.0005
2458884.66796 79695.12 2.52 6.3976 0.0050 -77.10 5.04 60.343 0.048 0.1555 0.0018 0.2037 0.0005
2458884.68891 79691.76 2.73 6.3972 0.0055 -80.68 5.45 60.429 0.052 0.1432 0.0021 0.2055 0.0006
