input_id,input_ra,input_dec,dist,obsid,obsdate,lmjd,mjd,planid,spid,fiberid,class,subclass,z,ra,dec,teff,teff_err,logg,logg_err,feh,feh_err,rv,rv_err
1,58.261653,8.986596,0.0514795563141529,379810190,2015-10-31,57327,57326,EG040146N095952V01,10,190,STAR,K3,-0.0000325225,58.261665,8.986588,4749.6,33.64,4.558,0.052,0.204,0.028,-9.75,3.68
2,173.293251,-4.362489,0.101055331481203,428108224,2016-02-20,57439,57438,KP113018S030012V01,8,224,STAR,G6,0.0000973674,173.293249,-4.362461,5034.43,12.13,3.167,0.019,-0.714,0.01,29.19,3.96
3,162.514697,-3.929396,0.0129706039144975,205201102,2014-01-09,56667,56666,HD104840S015732V,1,102,STAR,F7,-0.0001057732,162.514695,-3.929393,6135.53,33.86,4.174,0.056,-0.612,0.032,-31.71,6.33
4,58.261653,8.986596,0.0514795563141529,302612233,2015-01-23,57046,57045,EG035008N063714V01,12,233,STAR,K3,-0.0000507685,58.261665,8.986588,4800.3,38.14,4.606,0.062,0.231,0.034,-15.22,4.09
5,68.7423,8.6672,0.154549101349668,89115061,2012-12-03,56265,56264,VB069N07V1,15,61,STAR,M3,-0.00007723,68.742343,8.667194,3410,400,5.0,1.0,0.0,2.0,,
6,98.873649,6.410908,0.126573818925349,44516069,2012-02-26,55984,55983,GAC_099N04_V4,16,69,STAR,A2V,0.00032489,98.873636,6.4108753,8840,500,4.0,1.0,0.0,2.0,,
7,133.065007,3.74591,0.0252671470048875,449509091,2016-04-03,57482,57481,HD084954N022145V02,9,91,STAR,F7,-0.0000368588,133.06501333,3.74591306,6315.79,16.57,4.227,0.027,0.193,0.015,-11.05,4.25
8,162.181086,-3.857072,0.0152562187218772,205201079,2014-01-09,56667,56666,HD104840S015732V,1,79,STAR,F2,-0.0000036025,162.181083,-3.857069,6228.5,14.89,4.349,0.021,-0.012,0.012,-1.08,4.22
9,147.990615,6.476928,0.117746512223612,92208085,2012-12-18,56280,56279,HD094610N064230B,8,85,STAR,G5,-0.00008599,147.990584,6.476939,5660,500,4.3,1.0,,,,
10,150.019077,3.966596,0.0433490251750332,445815061,2016-03-25,57473,57472,HD100408N031203V02,15,61,STAR,G3,-0.0000065045,150.019078,3.966608,5735.38,19.77,4.566,0.032,0.012,0.017,-1.95,3.99
11,176.884872,-5.17983,0.0370286255998407,499907016,2016-12-23,57746,57745,KP114249S033242V01,7,16,STAR,G2,-0.0000612424,176.884877,-5.179839,6038.76,11.87,4.307,0.018,-0.214,0.01,-18.36,4.09
