,296737508
ALLWISE,J092843.02-144111.1
APASS,5982762
Bmag,10.419
BmagFlag,tycho2b3
Dec_orig,-14.6864493339391
EBVflag,panstarrs
GAIA,5689294726038944768
GAIAmag,9.61575
Hmag,8.398
ID,296737508.0
Jmag,8.67
Kmag,8.275
MH,0.05
PARflag,gaia2
PMflag,gaia2
POSflag,tmgaia2
RA_orig,142.179270266076
SPFlag,spect
TESSflag,rered
TWOMASS,09284302-1441111
TWOMflag,AAA-111-111-000-0-0
TYC,5472-01060-1
TeffFlag,spect
Tmag,9.19706
UCAC,377-056300
Vmag,9.772
VmagFlag,tycho2v3
contratio,0.0235698838
dec,-14.6864298119041
dist,118.021
epos_dist,0.585
eneg_dist,0.579
distflag,bj2018
e_Bmag,0.065
e_Dec,0.978368195875948
e_Dec_orig,0.0340010861843884
e_GAIAmag,0.000391
e_Hmag,0.044
e_Jmag,0.029
e_Kmag,0.017
e_MH,0.1
e_RA,1.23736364686483
e_RA_orig,0.0386688164607364
e_Teff,132.759
e_Tmag,0.0062
e_Vmag,0.004
e_d,0.582
e_ebv,0.004674995
e_gaiabp,0.002592
e_gaiarp,0.001802
e_logg,0.0784879
e_lum,0.0421931
e_mass,0.127835
e_plx,0.0414817
e_pmDEC,0.0630824
e_pmRA,0.0791365
e_rad,0.067284
e_rho,0.107565
e_w1mag,0.022
e_w2mag,0.019
e_w3mag,0.022
e_w4mag,0.231
ebv,0.0139108
eclat,-27.9404073963015
eclong,149.876598483153
eneg_EBV,0.00615538
eneg_lum,0.0500033
epos_EBV,0.00319461
epos_lum,0.0343829
gaiabp,9.95582
gaiaqflag,1.0
gaiarp,9.15914
gallat,25.4617885570985
gallong,246.951148717081
logg,4.23585
epos_logg,0.0686873
eneg_logg,0.0882886
lum,1.537282
lumclass,DWARF
mass,1.015
epos_mass,0.107168
eneg_mass,0.148502
numcont,82.0
objID,678679296.0
objType,STAR
plx,8.44443
pmDEC,-4.53415
pmRA,1.34178
priority,0.00234501413
ra,142.179264293842
rad,1.27157
epos_rad,0.0617573
eneg_rad,0.0728106
raddflag,1.0
rho,0.49582756229209457
epos_rho,0.105862
eneg_rho,0.109268
source,TICv8
teff,5699.6
epos_teff,133.0
eneg_teff,132.518
typeSrc,tmgaia2
version,20190415
w1mag,8.261
w2mag,8.303
w3mag,8.292
w4mag,8.057
wdflag,0.0
